,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue ID,Venue Latitude,Venue Longitude,Venue Category
292,Lincoln Square,40.773528889421655,-73.98533777001262,Marea,4a0babaaf964a52007751fe3,40.767452399999996,-73.9811142,Seafood Restaurant
293,Lincoln Square,40.773528889421655,-73.98533777001262,The Leopard at des Artistes,4db9ebb54b22153e34a7035b,40.77332401742129,-73.97881715386707,Italian Restaurant
294,Lincoln Square,40.773528889421655,-73.98533777001262,Lincoln Ristorante,4c881d60a0ffb60ccda81fc5,40.77341322112094,-73.98353503896452,Italian Restaurant
300,Lincoln Square,40.773528889421655,-73.98533777001262,Gustaly,5d1d280b39523100231b9af6,40.765068,-73.987532,Italian Restaurant
304,Lincoln Square,40.773528889421655,-73.98533777001262,Il Baretto To Go,59c57385b3c9613aae726556,40.768727,-73.992149,Italian Restaurant
306,Lincoln Square,40.773528889421655,-73.98533777001262,Tavola Della Nonna,5e1f8b02f8715e00085fd332,40.77756118774414,-73.98343658447266,Italian Restaurant
307,Lincoln Square,40.773528889421655,-73.98533777001262,Pappardella,4a467e38f964a520f6a81fe3,40.77928970535379,-73.97745572368103,Italian Restaurant
310,Lincoln Square,40.773528889421655,-73.98533777001262,Il Violino Restaurant,4a85f5dbf964a520d2ff1fe3,40.77494,-73.980549,Italian Restaurant
313,Lincoln Square,40.773528889421655,-73.98533777001262,The Meatball Shop,58acbc30a19e9053f00ea52a,40.765280935331454,-73.98741667552095,Italian Restaurant
315,Lincoln Square,40.773528889421655,-73.98533777001262,Nocello,4be5e26dd4f7c9b676152620,40.765514426287474,-73.98338337325319,Italian Restaurant
317,Lincoln Square,40.773528889421655,-73.98533777001262,Joanne Trattoria,4ee6366b77c8e89319c7e4b8,40.77443169968248,-73.98054354601426,Italian Restaurant
318,Lincoln Square,40.773528889421655,-73.98533777001262,Piccolo Café,4fa877510cd6636384b1ad68,40.780223,-73.980207,Italian Restaurant
319,Lincoln Square,40.773528889421655,-73.98533777001262,Francesco Pizzeria,4a7c8472f964a520e4ec1fe3,40.775125042869604,-73.9806228656137,Pizza Place
323,Lincoln Square,40.773528889421655,-73.98533777001262,Bocca Di Bacco,4a48155ff964a52088aa1fe3,40.76619745293094,-73.98698427675109,Italian Restaurant
324,Lincoln Square,40.773528889421655,-73.98533777001262,'Cesca,4a8c835ef964a5204e0e20e3,40.78053293317252,-73.98009419721154,Italian Restaurant
325,Lincoln Square,40.773528889421655,-73.98533777001262,Basso56,49f221b8f964a520f4691fe3,40.76572148170926,-73.9827233924038,Italian Restaurant
327,Lincoln Square,40.773528889421655,-73.98533777001262,Giacomo Fine Foods,4b7408bef964a520bec42de3,40.77969374663293,-73.98425076600904,Deli / Bodega
332,Clinton,40.75910089146212,-73.99611936309479,Esca,3fd66200f964a520d3ea1ee3,40.75919966307402,-73.99271339178084,Seafood Restaurant
333,Clinton,40.75910089146212,-73.99611936309479,Lazzara's Pizza,468e1813f964a5207b481fe3,40.75398720316197,-73.98961786768491,Italian Restaurant
334,Clinton,40.75910089146212,-73.99611936309479,La Vela Dining & Bar,5633bec0498e430fc8ba8f3c,40.761156120634936,-73.99813983922871,Italian Restaurant
348,Clinton,40.75910089146212,-73.99611936309479,Capizzi,4c9e590b542b224b4945f39f,40.75731207195727,-73.99346864470769,Pizza Place
349,Clinton,40.75910089146212,-73.99611936309479,Etcetera Etcetera,4ba293adf964a520ef0538e3,40.759391822450695,-73.99103788186426,Italian Restaurant
353,Clinton,40.75910089146212,-73.99611936309479,La Masseria,4aaaeadcf964a5200c5820e3,40.76091947661139,-73.9865292075568,Italian Restaurant
357,Clinton,40.75910089146212,-73.99611936309479,Olive Garden,42f15a80f964a520bb261fe3,40.75941434851957,-73.98470179681998,Italian Restaurant
358,Clinton,40.75910089146212,-73.99611936309479,Don Antonio by Starita,4f16b98fe4b0f2c21698586c,40.7627178,-73.98670760000002,Pizza Place
359,Clinton,40.75910089146212,-73.99611936309479,Orso,4ab44d23f964a520cc7020e3,40.760219819911505,-73.98890742808942,Italian Restaurant
363,Clinton,40.75910089146212,-73.99611936309479,Don Giovanni,40ff0380f964a5203e0b1fe3,40.75954664493681,-73.99135435587401,Italian Restaurant
375,Clinton,40.75910089146212,-73.99611936309479,Aria,556a5504498e866544bebc7f,40.76399235553683,-73.98817547645021,Italian Restaurant
380,Midtown,40.754691102706225,-73.98166882730305,Lazzara's Pizza,468e1813f964a5207b481fe3,40.75398720316197,-73.98961786768491,Italian Restaurant
386,Midtown,40.754691102706225,-73.98166882730305,Fresco by Scotto,400f1280f964a520f2f11ee3,40.7589870514611,-73.9742956523352,Italian Restaurant
387,Midtown,40.754691102706225,-73.98166882730305,Scarlatto,4ab16328f964a5203f6920e3,40.76014691467682,-73.98658228144879,Italian Restaurant
389,Midtown,40.754691102706225,-73.98166882730305,Park Italian Gourmet,4afc4d5ef964a520532122e3,40.756677846184274,-73.98194763998218,Deli / Bodega
391,Midtown,40.754691102706225,-73.98166882730305,Tony's Di Napoli,4adce863f964a5206c6221e3,40.75643191257544,-73.9855039331182,Italian Restaurant
